age,annual_income,credit_score,loan_amount,employment_years,existing_debt,loan_term_years,Grant_Loan
59,565464,699,1109670,3,761062,8,0
49,813089,481,1972967,10,137815,3,1
35,1536651,504,1000922,31,972304,7,0
63,1342953,527,1890749,6,627763,7,0
28,526916,549,1734449,10,704133,14,0
41,1700554,740,515590,27,319186,2,1
59,512250,832,1609067,22,49476,10,1
39,805409,495,1483284,22,747465,19,0
43,1274135,818,1167374,27,290696,9,1
31,1092027,369,952458,25,720602,16,0
31,758030,698,251604,24,438988,19,1
44,1056101,502,160130,28,961234,18,1
56,1925690,447,858596,18,684308,9,1
60,1383620,771,740955,32,207383,16,1
44,1360793,498,80257,35,69093,13,1
23,1814737,725,457427,13,593411,10,1
42,1092964,791,932421,13,16535,20,1
22,603119,441,972736,34,328634,14,0
44,858380,612,1035257,29,570850,12,1
64,1335564,464,1151267,27,381186,19,0
50,769936,613,1702632,16,256323,7,1
58,325991,320,468829,2,875512,15,0
22,602732,381,588314,15,258916,16,0
41,706079,430,799450,29,713895,8,0
53,726684,604,1391628,28,230063,10,1
32,1332658,670,593898,14,41269,4,1
42,328322,683,1276294,24,80674,19,1
64,856951,744,1596933,37,828894,19,1
45,211303,724,375329,37,920631,15,0
47,1410209,460,908999,22,285291,14,1
62,1582439,477,1277222,24,438744,1,1
48,1498266,789,1091482,6,601383,16,1
36,1209612,626,1616996,21,768460,10,1
35,299616,588,1320699,16,724291,19,0
64,1110597,653,1593812,17,90925,3,1
23,1334807,327,872614,9,590669,5,0
57,469458,342,968074,9,623756,9,0
27,1268199,722,1589582,6,242330,18,1
41,923035,476,593576,37,850181,11,0
29,690042,828,915256,26,956176,16,1
59,658298,793,1707289,32,13731,2,1
38,1247343,497,50917,0,386791,12,1
24,1725416,816,1960610,33,972016,6,1
45,305228,813,1062544,3,491874,11,0
34,626346,321,901007,16,575312,8,0
29,1955692,411,908950,3,641000,12,0
46,1084056,356,827475,25,101121,2,0
22,1930228,365,1137680,3,265976,9,0
40,1769123,397,723422,0,556620,15,0
48,1317850,443,329143,6,12467,2,1
27,1382117,734,312091,29,41025,1,1
64,1302523,385,1553637,8,144179,10,0
28,1926470,643,453157,34,77994,2,1
55,1443268,593,635457,7,94202,12,1
34,248874,542,1253118,23,567769,8,0
37,1822572,331,1228320,18,395797,5,0
56,1323129,690,1995692,35,599406,1,1
60,792632,576,109821,26,386154,15,1
24,909662,831,1316317,31,444854,6,1
22,771926,453,299265,13,648002,12,0
26,1326825,682,487651,17,925922,8,1
62,727007,367,1496321,27,748987,13,0
24,878250,513,1312703,28,160185,19,1
49,670452,675,324336,15,84363,1,1
38,1678301,512,1434822,34,910039,11,0
46,242534,378,253834,30,325188,20,0
64,695518,680,1857402,3,211027,1,1
54,816529,357,1999902,36,978534,8,0
30,612003,325,1185371,16,273958,5,0
56,326209,746,1263735,38,361484,17,0
34,642061,365,378821,25,272168,8,0
51,1437580,553,709987,38,718648,10,1
35,816412,343,293877,3,895668,2,0
28,1864523,396,1297874,29,582124,9,0
34,364134,526,1597419,29,269579,3,0
43,1324289,735,970759,21,984588,18,1
60,1991199,678,1811369,10,255095,7,1
41,688972,477,186285,1,857033,15,0
36,1177965,726,1200988,11,481632,20,1
38,1323994,606,1642268,29,261176,18,1
44,1184176,803,166545,35,383015,3,1
46,1376808,567,1517172,17,249717,14,1
45,720551,307,1320704,25,658767,2,0
61,363038,807,724533,6,885375,14,1
49,1190049,775,1806963,0,32940,11,1
35,1130491,596,1908997,25,529954,16,1
21,1416959,463,835945,22,299266,8,1
45,1574572,784,1468826,25,905079,7,1
27,458722,371,336663,5,156164,11,0
29,332079,537,831163,5,916185,3,0
44,402053,403,1907447,7,909834,17,0
21,800530,509,1479290,23,206717,14,0
64,1427165,767,1044453,21,363334,6,1
28,1751814,753,64995,18,362612,8,1
44,1277833,567,73559,36,915639,5,1
31,680488,685,571244,17,26505,8,1
37,635423,686,1449769,30,561001,2,1
28,1392929,558,448237,36,447603,15,1
55,523390,582,672288,29,829601,12,0
55,463579,339,1775055,32,204354,17,0
53,1478523,785,494755,9,601799,1,1
25,1480334,519,538051,36,969246,15,1
62,1864221,428,875782,11,826954,14,0
59,1406308,819,489439,29,212204,20,1
61,1199701,559,1124093,26,250694,16,1
48,1131011,665,1570445,38,249836,9,1
27,1976531,843,465466,8,758849,1,1
29,1856671,823,1314134,20,885829,17,1
28,1687331,315,526111,11,528168,13,0
32,338563,428,925564,28,436670,5,0
54,983066,408,534282,32,973215,10,0
53,1754623,832,1558590,14,567827,6,1
43,905552,568,1545991,1,240056,19,0
44,526032,461,1615615,38,985825,13,0
57,797897,559,1944554,17,219057,1,1
55,972800,401,571396,2,539087,20,0
64,1502549,805,1204262,6,507800,15,1
60,1531673,546,1711015,17,104843,14,1
42,1625402,836,1364047,37,977606,8,1
47,1762833,430,1743182,36,443942,10,0
55,1927757,652,997272,32,48784,9,1
21,1679359,495,769778,30,113034,17,1
55,1363950,681,1586178,10,960837,9,1
57,749148,526,1084451,3,434044,3,0
34,876555,775,1796724,17,724886,11,1
23,801763,776,1738809,3,54362,12,1
21,684090,564,1312032,33,53997,10,1
25,1073698,671,358974,28,181413,17,1
46,876787,785,102446,23,412289,17,1
34,1537803,733,1072582,21,364543,11,1
59,942406,510,1506952,1,800981,4,0
47,1043804,676,761943,5,843352,7,1
29,848074,694,1525790,24,740686,14,1
35,1161568,749,994734,20,468731,7,1
35,1780677,663,190148,15,784752,8,1
46,1280174,756,1692205,30,413532,1,1
62,1754510,525,81085,13,157255,4,1
33,1865970,430,1416291,38,880292,12,0
52,489226,775,1506507,27,548912,3,1
59,1015673,576,574006,31,717875,13,1
52,427286,455,1489028,27,759072,20,0
24,637785,517,1104326,8,478997,6,0
50,1260321,489,1998939,21,570993,11,0
57,1012461,716,390912,31,613614,4,1
43,1392673,845,1610336,4,419972,20,1
59,432732,340,85903,22,846822,16,0
35,1918224,606,1302137,4,68369,7,1
63,813474,637,1713900,31,201893,11,1
49,1124044,613,662242,9,271733,1,1
56,1084200,374,562493,38,637300,7,0
33,413030,578,1526106,14,931620,12,0
52,924238,475,1540017,6,859613,7,0
27,1814710,572,1055489,28,700146,7,1
42,1218652,588,919446,2,750046,10,0
48,1586652,571,1526971,18,647999,16,1
22,348554,365,691593,9,76425,8,0
62,485555,782,1604209,27,947790,9,1
26,644191,547,1517130,28,496297,9,0
48,1702337,455,1584227,14,540282,2,0
48,1754094,346,250753,34,111915,13,1
64,1589517,753,82101,5,385105,13,1
64,514451,500,52775,11,483414,4,1
40,1120597,423,1734361,37,104672,12,0
50,1532762,300,540399,12,813071,17,0
31,1825794,490,95619,28,279349,2,1
48,972944,815,1350964,18,318821,13,1
45,1686205,741,462755,2,32930,18,1
59,968747,442,1856210,7,73313,15,0
53,424695,490,1942132,7,749211,8,0
21,1084315,832,115149,19,113153,15,1
47,1544476,526,76616,3,485725,1,1
33,1301844,612,796055,20,804748,20,1
61,1681006,601,1284215,2,944808,10,0
23,1461519,759,1791035,7,232911,12,1
59,1670394,700,256903,22,96058,5,1
26,908691,692,1329894,15,87876,9,1
28,773189,506,1946807,12,609654,8,0
47,1610706,509,1088218,2,537691,16,0
29,1443064,414,402365,8,342196,14,1
57,1936132,550,951311,13,772838,13,1
53,590530,518,337623,12,261420,13,1
62,862784,706,411309,6,477843,5,1
64,441531,742,105863,14,335639,16,1
44,1495269,653,1271691,6,163004,11,1
35,1194465,849,1967577,37,358234,5,1
52,1119484,441,545654,33,298845,13,1
52,903650,800,1601899,21,396601,11,1
44,1799295,846,1507200,23,776684,19,1
61,1486936,841,827635,36,581529,3,1
32,544855,806,763340,0,665727,15,0
59,1755979,580,1050460,9,65030,7,1
22,1274961,723,328495,15,701865,7,1
23,631374,569,1233779,7,164404,6,1
57,1664811,453,297908,24,207397,3,1
37,480783,382,881257,11,952772,13,0
22,1334106,725,1896357,24,479702,7,1
22,483707,574,1290579,16,418779,5,0
48,577816,583,1929262,25,105185,18,1
43,1678236,472,1923233,13,36404,8,1
57,1186420,626,1596175,35,55182,17,1
52,1650503,362,1373173,22,295135,20,0
53,1978254,372,1772750,5,628889,1,0
21,545114,674,1772199,4,703023,14,0
39,443373,807,651982,24,852318,17,1
22,547697,697,1638599,17,646290,10,0
64,1410355,419,983334,12,345992,12,0
46,1418758,736,1932901,13,941631,16,1
52,1246914,764,750033,27,844124,14,1
26,1965724,585,963438,17,225461,16,1
52,1855743,564,794822,27,823932,8,1
24,1156331,619,619354,26,820217,10,1
31,1486836,675,1854251,31,608434,17,1
37,1123159,388,184445,8,488195,18,1
58,1171129,502,453551,39,572285,20,1
44,1919187,633,991245,31,531458,16,1
25,846701,521,1895700,19,144375,17,1
54,986958,340,619829,27,333887,16,0
26,530904,367,1263705,32,471068,19,0
42,1296413,813,641271,3,35187,8,1
31,718349,426,1773519,33,720394,6,0
36,984838,554,203837,2,989280,6,1
53,997968,315,764647,25,657253,9,0
29,1801405,776,957179,7,669113,4,1
26,279083,361,921535,5,38090,12,0
36,758819,731,1833611,15,982426,12,1
49,1519432,567,227597,23,469984,17,1
23,1614821,334,1792166,38,845844,15,0
40,1847608,793,1085408,29,777766,9,1
56,977147,768,1511312,12,318174,7,1
