iter	Passed	Remaining
0	3	299
1	5	277
2	8	270
3	11	269
4	14	266
5	16	265
6	19	264
7	22	262
8	25	260
9	28	258
10	31	256
11	34	253
12	37	250
13	39	245
14	42	241
15	45	237
16	48	235
17	50	232
18	53	228
19	56	225
20	59	223
21	62	220
22	65	218
23	67	214
24	70	210
25	73	208
26	76	206
27	79	203
28	82	200
29	84	198
30	87	195
31	90	192
32	93	189
33	96	186
34	99	183
35	101	181
36	104	178
37	107	176
38	110	173
39	113	170
40	116	167
41	119	164
42	122	161
43	124	159
44	127	155
45	130	152
46	132	149
47	135	147
48	138	144
49	141	141
50	144	138
51	147	135
52	150	133
53	153	130
54	155	127
55	158	124
56	161	121
57	164	118
58	166	116
59	169	113
60	172	110
61	175	107
62	178	104
63	180	101
64	183	99
65	186	96
66	189	93
67	192	90
68	195	87
69	197	84
70	200	82
71	203	79
72	205	76
73	208	73
74	211	70
75	214	67
76	217	65
77	220	62
78	223	59
79	226	56
80	229	53
81	231	50
82	234	48
83	237	45
84	240	42
85	243	39
86	246	36
87	249	34
88	251	31
89	254	28
90	257	25
91	260	22
92	263	19
93	266	17
94	269	14
95	272	11
96	275	8
97	278	5
98	281	2
99	283	0
